customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
7590-VHVEG,female,0,Yes,No,1.0,No,No,dsl,No,Yes,No,No,No,No,Monthly,Yes,Manual,29.85,29.85,No
5575-GNVDE,male,0,No,No,34.0,Yes,No,dsl,Yes,No,Yes,No,No,No,One year,No,Manual,56.95,1889.5,No
3668-QPYBK,male,0,No,No,2.0,Yes,No,dsl,Yes,Yes,No,No,No,No,Monthly,Yes,Manual,53.85,108.15,Yes
7795-CFOCW,male,0,No,No,45.0,No,No,dsl,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,female,0,No,No,2.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,70.7,151.65,Yes
9305-CDSKC,female,0,No,No,8.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,Monthly,Yes,Manual,99.65,820.5,Yes
1452-KIOVK,male,0,No,Yes,22.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Monthly,Yes,Credit card (automatic),89.1,1949.4,No
6713-OKOMC,female,0,No,No,10.0,No,No,dsl,Yes,No,No,No,No,No,Monthly,No,Manual,29.75,301.9,No
7892-POOKP,female,0,Yes,No,28.0,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,Yes,Monthly,Yes,Manual,104.8,3046.05,Yes
6388-TABGU,male,0,No,Yes,62.0,Yes,No,dsl,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No
9763-GRSKD,male,0,Yes,Yes,13.0,Yes,No,dsl,Yes,No,No,No,No,No,Monthly,Yes,Manual,49.95,587.45,No
7469-LKBCI,male,0,No,No,16.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.95,326.8,No
8091-TTVAX,male,0,Yes,No,32.365482954545456,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No
0280-XJGEX,male,0,No,No,49.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,male,0,No,No,25.0,Yes,No,fiber optic,Yes,No,Yes,Yes,Yes,Yes,Monthly,Yes,Manual,105.5,2686.05,No
3655-SNQYZ,female,0,Yes,Yes,69.0,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No
8191-XWSZG,female,0,No,No,52.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,20.65,1022.95,No
9959-WOFKT,male,0,No,Yes,71.0,Yes,Yes,fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No
4190-MFLUW,female,0,Yes,Yes,10.0,Yes,No,dsl,No,No,Yes,Yes,No,No,Monthly,No,Credit card (automatic),55.2,528.35,Yes
4183-MYFRB,female,0,No,No,21.0,Yes,No,fiber optic,No,Yes,Yes,No,No,Yes,Monthly,Yes,Manual,90.05,1862.9,No
8779-QRDMV,male,1,No,No,1.0,No,No,dsl,No,No,Yes,No,No,Yes,Monthly,Yes,Manual,39.65,39.65,Yes
1680-VDCWW,male,0,Yes,No,12.0,Yes,No,no,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.8,202.25,No
1066-JKSGK,male,0,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.15,20.15,Yes
3638-WEABW,female,0,Yes,No,58.0,Yes,Yes,dsl,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No
6322-HRPFA,male,0,Yes,Yes,49.0,Yes,No,dsl,Yes,Yes,No,Yes,No,No,Monthly,No,Credit card (automatic),59.6,2970.3,No
6865-JZNKO,female,0,No,No,32.365482954545456,Yes,No,dsl,Yes,Yes,No,No,No,No,Monthly,Yes,Bank transfer (automatic),55.3,1530.6,No
6467-CHFZW,male,0,Yes,Yes,47.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,Monthly,Yes,Manual,99.35,4749.15,Yes
8665-UTDHZ,male,0,Yes,Yes,1.0,No,No,dsl,No,Yes,No,No,No,No,Monthly,No,Manual,30.2,30.2,Yes
5248-YGIJN,male,0,Yes,No,72.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,female,0,No,Yes,17.0,Yes,No,dsl,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,64.7,1093.1,Yes
3841-NFECX,female,1,Yes,No,71.0,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,male,1,Yes,No,2.0,Yes,No,fiber optic,No,No,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),95.5,181.65,No
6827-IEAUQ,female,0,Yes,Yes,27.0,Yes,No,dsl,Yes,Yes,Yes,Yes,No,No,One year,No,Manual,66.15,1874.45,No
7310-EGVHZ,male,0,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),20.2,20.2,No
3413-BMNZE,male,1,No,No,1.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,female,0,Yes,Yes,72.0,Yes,Yes,fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No
6047-YHPVI,male,0,No,No,5.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,69.7,316.9,Yes
6572-ADKRS,female,0,No,No,46.0,Yes,No,fiber optic,No,No,Yes,No,No,No,Monthly,Yes,Credit card (automatic),74.8,3548.3,No
5380-WJKOV,male,0,No,No,34.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Manual,106.35,3549.25,Yes
8168-UQWWF,female,0,No,No,11.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),97.85,1105.4,Yes
8865-TNMNX,male,0,Yes,Yes,10.0,Yes,No,dsl,No,Yes,No,No,No,No,One year,No,Manual,49.55,475.7,No
9489-DEDVP,female,0,Yes,Yes,70.0,Yes,Yes,dsl,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No
9867-JCZSP,female,0,Yes,Yes,17.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,20.75,418.25,No
4671-VJLCL,female,0,No,No,63.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No
4080-IIARD,female,0,Yes,No,13.0,Yes,Yes,dsl,Yes,Yes,No,Yes,Yes,No,Monthly,Yes,Manual,76.2,981.45,No
3714-NTNFO,female,0,No,No,32.365482954545456,Yes,Yes,fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Manual,84.5,3906.7,No
5948-UJZLF,male,0,No,No,2.0,Yes,No,dsl,No,Yes,No,No,No,No,Monthly,No,Manual,49.25,97.0,No
7760-OYPDY,female,0,No,No,2.0,Yes,No,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,80.65,144.15,Yes
7639-LIAYI,male,0,No,No,52.0,Yes,Yes,dsl,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No
2954-PIBKO,female,0,Yes,Yes,69.0,Yes,Yes,dsl,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No
8012-SOUDQ,female,1,No,No,43.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Monthly,Yes,Manual,90.25,3838.75,No
9420-LOJKX,female,0,No,No,15.0,Yes,No,fiber optic,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),99.1,1426.4,Yes
6575-SUVOI,female,1,Yes,No,25.0,Yes,Yes,dsl,Yes,No,No,Yes,Yes,No,Monthly,Yes,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,female,1,Yes,No,8.0,Yes,Yes,fiber optic,No,Yes,No,No,No,No,Monthly,Yes,Credit card (automatic),80.65,633.3,Yes
4667-QONEA,female,1,Yes,Yes,60.0,Yes,No,dsl,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No
1658-BYGOY,male,1,No,No,18.0,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,Monthly,Yes,Manual,95.45,1752.55,Yes
8769-KKTPH,female,0,Yes,Yes,63.0,Yes,Yes,fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No
5067-XJQFU,male,1,Yes,Yes,66.0,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Manual,108.45,7076.35,No
3957-SQXML,female,0,Yes,Yes,34.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.95,894.3,No
5954-BDFSG,female,0,No,No,72.0,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No
0434-CSFON,female,0,Yes,No,47.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,Monthly,Yes,Manual,100.5,4707.1,No
1215-FIGMP,male,0,No,No,60.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Monthly,Yes,Bank transfer (automatic),89.9,5450.7,No
0526-SXDJP,male,0,Yes,No,72.0,No,No,dsl,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No
0557-ASKVU,female,0,Yes,Yes,18.0,Yes,No,dsl,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No
5698-BQJOH,female,0,No,No,9.0,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,Monthly,No,Manual,94.4,857.25,Yes
5122-CYFXA,female,0,No,No,3.0,Yes,No,dsl,No,Yes,No,Yes,Yes,Yes,Monthly,Yes,Manual,75.3,244.1,No
8627-ZYGSZ,male,0,Yes,No,47.0,Yes,Yes,fiber optic,No,Yes,No,No,No,No,One year,Yes,Manual,78.9,3650.35,No
3410-YOQBQ,female,0,No,No,31.0,Yes,No,dsl,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Manual,79.2,2497.2,No
3170-NMYVV,female,0,Yes,Yes,50.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,No
7410-OIEDU,male,0,No,No,10.0,Yes,No,fiber optic,Yes,No,Yes,No,No,No,Monthly,Yes,Manual,79.85,887.35,No
2273-QCKXA,male,0,No,No,1.0,Yes,No,dsl,No,No,No,Yes,No,No,Monthly,No,Manual,49.05,49.05,No
0731-EBJQB,female,0,Yes,Yes,52.0,Yes,No,no,No,No,No,No,No,No,One year,Yes,Manual,20.4,1090.65,No
1891-QRQSA,male,1,Yes,Yes,64.0,Yes,Yes,fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No
8028-PNXHQ,male,0,Yes,Yes,62.0,Yes,Yes,no,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No
5630-AHZIL,female,0,No,Yes,3.0,Yes,No,dsl,Yes,No,No,Yes,No,Yes,Monthly,Yes,Bank transfer (automatic),64.5,177.4,No
2673-CXQEU,female,1,No,No,56.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Manual,110.5,6139.5,No
6416-JNVRK,female,0,No,No,46.0,Yes,No,dsl,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No
5590-ZSKRV,female,0,Yes,Yes,8.0,Yes,No,dsl,Yes,Yes,No,No,No,No,Monthly,No,Manual,54.65,482.25,No
0191-ZHSKZ,male,1,No,No,30.0,Yes,No,dsl,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Manual,74.75,2111.3,No
3887-PBQAO,female,0,Yes,Yes,45.0,Yes,Yes,no,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.9,1216.6,No
5919-TMRGD,female,0,No,Yes,1.0,Yes,No,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Manual,79.35,79.35,Yes
8108-UXRQN,female,0,Yes,Yes,11.0,No,No,dsl,Yes,No,No,No,Yes,Yes,Monthly,No,Manual,50.55,565.35,No
9191-MYQKX,female,0,Yes,No,7.0,Yes,No,fiber optic,No,No,Yes,No,No,No,Monthly,Yes,Bank transfer (automatic),75.15,496.9,Yes
9919-YLNNG,female,0,No,No,42.0,Yes,No,fiber optic,No,Yes,Yes,Yes,Yes,Yes,Monthly,Yes,Bank transfer (automatic),103.8,4327.5,No
0318-ZOPWS,female,0,Yes,No,49.0,Yes,No,no,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,No
4445-ZJNMU,male,0,No,No,9.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),99.3,918.75,No
4808-YNLEU,female,0,Yes,No,35.0,Yes,No,dsl,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No
1862-QRWPE,female,0,Yes,Yes,48.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.65,1057.0,No
2796-NNUFI,female,0,Yes,Yes,46.0,Yes,No,no,No,No,No,No,No,No,Two year,Yes,Manual,19.95,927.1,No
3016-KSVCP,male,0,Yes,No,29.0,No,No,dsl,No,No,No,No,Yes,No,Monthly,No,Manual,33.75,1009.25,No
4767-HZZHQ,male,0,Yes,Yes,30.0,Yes,No,fiber optic,No,Yes,Yes,No,No,No,Monthly,No,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,male,1,No,No,1.0,Yes,No,fiber optic,No,No,No,Yes,No,No,Monthly,No,Manual,74.7,74.7,No
7233-PAHHL,male,0,Yes,Yes,66.0,Yes,Yes,dsl,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Manual,84.0,5714.25,No
6067-NGCEU,female,0,No,No,65.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),111.05,7107.0,No
9848-JQJTX,male,0,No,No,72.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,female,0,No,No,12.0,Yes,Yes,fiber optic,Yes,No,No,No,No,No,Monthly,Yes,Manual,78.95,927.35,Yes
9803-FTJCG,male,0,Yes,Yes,71.0,Yes,Yes,dsl,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No
0278-YXOOG,male,0,No,No,5.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,21.05,113.85,Yes
